name	collapsed
IFNA21	IFNA*
IFNA4	IFNA*
IFNA5	IFNA*
IFNA6	IFNA*
IFNA7	IFNA*
IFNA8	IFNA*
IFNAR1	IFNAR*
IFNAR2	IFNAR*
IFNB1	IFNB1
IGF1	IGF*
IGF1R	IGF1R
IGF2	IGF*
IKBKB	IKBK*
IKBKG	IKBK*
IL1A	IL1*
IL1B	IL1*
IL1R1	IL1R1
IL1RAP	IL1RAP
IL2	IL2
IL2RA	IL2RA
IL2RB	IL2RB
IL2RG	IL2RG
IL3	IL3
IL3RA	IL3RA
IL4	IL4
IL4R	IL4R
IL6	IL6
IL6R	IL6R
IL7	IL7
IL7R	IL7R
INS	INS
INSR	INSR
IRAK1	IRAK1
IRAK4	IRAK4
IRS1	IRS1
ITGA1	ITGA*
ITGA10	ITGA*
ITGA11	ITGA*
ITGA2	ITGA*
ITGA2B	ITGA*
ITGA3	ITGA*
ITGA4	ITGA*
ITGA5	ITGA*
ITGA6	ITGA*
ITGA7	ITGA*
ITGA8	ITGA*
ITGA9	ITGA*
ITGAV	ITGAV
ITGB1	ITGB*
ITGB3	ITGB*
ITGB4	ITGB*
ITGB5	ITGB*
ITGB6	ITGB*
ITGB7	ITGB*
ITGB8	ITGB*
JAK1	JAK*
JAK2	JAK*
JAK3	JAK*
JMJD7-PLA2G4B	JMJD7-PLA2G4B
JUN	JUN
JUND	JUND
KDR	KDR
KIT	KIT
KITLG	KITLG
KRAS	KRAS
KSR1	KSR1
KSR2	KSR2
LAMA1	LAMA*
LAMA2	LAMA*
LAMA3	LAMA*
LAMA4	LAMA*
LAMA5	LAMA*
LAMB1	LAMB*
LAMB2	LAMB*
LAMB3	LAMB*
LAMB4	LAMB*
LAMC1	LAMC*
LAMC2	LAMC*
LAMC3	LAMC*
LAMTOR3	LAMTOR3
LAT	LAT
LOC102723407	LOC102723407
LPAR1	LPAR*
LPAR2	LPAR*
LPAR3	LPAR*
LPAR4	LPAR*
LPAR5	LPAR*
LPAR6	LPAR*
MAGI1	MAGI1
MAGI2	MAGI2
MAP2K1	MAP2K*
MAP2K2	MAP2K*
MAP2K3	MAP2K*
MAP2K4	MAP2K*
MAP2K5	MAP2K*
MAP2K6	MAP2K*
MAP2K7	MAP2K*
MAP3K1	MAP3K*
MAP3K11	MAP3K*
MAP3K12	MAP3K*
MAP3K13	MAP3K*
MAP3K14	MAP3K*
MAP3K2	MAP3K*
MAP3K20	MAP3K*
MAP3K3	MAP3K*
MAP3K4	MAP3K*
MAP3K5	MAP3K*
MAP3K6	MAP3K*
MAP3K7	MAP3K*
MAP3K8	MAP3K*
MAP4K1	MAP4K*
MAP4K2	MAP4K*
MAP4K3	MAP4K*
MAP4K4	MAP4K*
MAPK1	MAPK*
MAPK10	MAPK*
MAPK11	MAPK*
MAPK12	MAPK*
MAPK13	MAPK*
MAPK14	MAPK*
MAPK3	MAPK*
MAPK7	MAPK*
MAPK8	MAPK*
MAPK8IP1	MAPK8IP*
MAPK8IP2	MAPK8IP*
MAPK8IP3	MAPK8IP*
MAPK9	MAPK*
MAPKAPK2	MAPKAPK*
MAPKAPK3	MAPKAPK*
MAPKAPK5	MAPKAPK*
MAPT	MAPT
MAX	MAX
MCL1	MCL1
MDM2	MDM2
MECOM	MECOM
MEF2C	MEF2C
MET	MET
MKNK1	MKNK1
MKNK2	MKNK2
MLST8	MLST8
MRAS	MRAS
MTCP1	MTCP1
MTOR	MTOR
MYB	MYB
MYC	MYC
MYD88	MYD88
NF1	NF1
NFATC1	NFATC*
NFATC3	NFATC*
NFKB1	NFKB*
